,current_5576,current_2409,current_2410,current_28987,current_17529,current_20245,current_18538,current_25513,current_27775
2017-12-20 20:00:00,407.5,402.25,402.25,67.5,336.5,37.5,308.75,178.5,94.25
2017-12-21 00:00:00,263.5,263.5,263.75,45.25,219.5,15.25,196.0,111.5,65.75
2017-12-21 04:00:00,264.25,262.5,262.0,52.5,211.75,22.5,187.75,98.25,59.5
2017-12-21 08:00:00,347.25,347.75,348.25,56.0,294.5,26.0,250.75,147.75,75.75
2017-12-21 12:00:00,345.25,343.75,344.75,48.25,299.75,18.25,257.75,154.25,77.25
2017-12-21 16:00:00,428.0,429.0,429.25,66.0,366.0,36.0,332.25,195.0,99.5
2017-12-21 20:00:00,402.5,400.75,400.75,65.0,338.75,35.0,308.0,178.25,92.0
2017-12-22 00:00:00,266.25,263.25,263.75,45.75,219.25,15.75,196.75,111.0,64.25
2017-12-22 04:00:00,265.25,265.25,264.75,49.25,216.5,19.25,194.75,105.75,60.75
2017-12-22 08:00:00,354.0,354.25,353.75,56.25,301.0,26.25,236.0,155.75,77.5
2017-12-22 12:00:00,350.75,353.75,354.25,50.0,304.75,20.0,287.75,163.0,79.0
2017-12-22 16:00:00,413.0,413.5,413.5,60.75,353.0,30.75,347.5,190.75,94.75
2017-12-22 20:00:00,393.25,393.0,392.75,65.25,330.0,35.25,327.0,170.5,86.5
2017-12-23 00:00:00,274.25,270.0,270.0,47.75,223.0,17.75,204.0,110.75,64.25
2017-12-23 04:00:00,236.0,238.0,237.75,43.5,195.75,13.5,172.0,94.75,53.75
2017-12-23 08:00:00,329.0,332.5,332.5,57.25,275.5,27.25,266.5,139.75,69.75
2017-12-23 12:00:00,326.5,325.75,326.5,50.25,276.5,20.25,259.75,145.0,71.5
2017-12-23 16:00:00,380.75,379.25,378.25,64.0,315.75,34.0,313.25,167.0,83.75
2017-12-23 20:00:00,359.75,358.75,359.25,62.5,300.75,32.5,292.75,152.25,79.75
2017-12-24 00:00:00,262.75,255.5,255.5,44.25,212.0,14.25,189.5,102.75,59.5
2017-12-24 04:00:00,234.75,230.0,230.5,44.5,187.0,14.5,164.0,92.25,52.25
2017-12-24 08:00:00,307.5,310.5,310.5,69.0,241.75,39.0,244.5,115.25,61.0
2017-12-24 12:00:00,322.75,323.5,323.75,64.75,261.25,34.75,257.5,127.25,68.5
2017-12-24 16:00:00,371.0,369.0,369.25,71.25,298.25,41.25,303.0,147.75,76.75
2017-12-24 20:00:00,353.75,344.5,345.0,66.5,280.0,36.5,278.5,133.75,71.75
2017-12-25 00:00:00,256.5,253.5,253.5,46.25,207.75,16.25,187.5,99.0,58.5
2017-12-25 04:00:00,231.0,230.0,230.0,43.0,188.75,13.0,164.0,93.0,52.25
2017-12-25 08:00:00,314.75,306.25,306.25,57.25,251.0,27.25,240.25,125.75,62.25
2017-12-25 12:00:00,319.5,317.0,317.25,49.5,270.5,19.5,251.0,143.25,69.5
2017-12-25 16:00:00,389.75,390.5,391.0,61.25,331.0,31.25,324.5,176.0,88.5
2017-12-25 20:00:00,381.0,377.5,377.0,63.75,314.25,33.75,311.5,159.25,85.25
2017-12-26 00:00:00,262.0,254.25,254.5,43.5,211.0,13.5,188.25,103.5,59.75
2017-12-26 04:00:00,256.75,253.25,253.25,48.75,206.0,18.75,187.25,100.25,57.0
2017-12-26 08:00:00,349.5,346.0,346.0,54.75,295.0,24.75,280.0,148.75,77.25
2017-12-26 12:00:00,355.75,361.0,361.5,49.75,314.0,19.75,295.0,164.75,77.75
2017-12-26 16:00:00,436.0,439.0,439.0,65.75,374.75,35.75,373.0,203.5,104.0
2017-12-26 20:00:00,408.0,401.75,402.0,66.5,336.5,36.5,335.75,175.25,93.0
2017-12-27 00:00:00,268.25,262.75,263.5,46.5,218.5,16.5,196.75,110.0,66.0
2017-12-27 04:00:00,261.75,255.75,256.25,51.5,204.25,21.5,189.75,93.25,55.75
2017-12-27 08:00:00,346.25,348.25,347.75,53.75,300.0,23.75,282.25,153.75,79.25
2017-12-27 12:00:00,354.5,355.25,354.75,45.75,310.25,15.75,289.25,163.5,80.25
2017-12-27 16:00:00,442.5,441.0,441.0,64.0,378.25,34.0,375.0,208.75,106.75
2017-12-27 20:00:00,408.25,405.5,404.75,64.75,342.25,34.75,339.5,181.0,95.75
2017-12-28 00:00:00,267.75,263.75,264.5,44.5,222.0,14.5,197.75,112.25,66.0
2017-12-28 04:00:00,258.5,259.25,259.5,47.75,211.5,17.75,193.25,100.25,57.75
2017-12-28 08:00:00,351.75,350.5,351.0,55.25,300.75,25.25,284.5,156.5,80.5
2017-12-28 12:00:00,361.75,363.75,363.5,49.75,315.5,19.75,297.75,168.0,82.5
2017-12-28 16:00:00,433.5,432.5,432.5,65.0,368.5,35.0,366.5,202.0,100.25
2017-12-28 20:00:00,401.25,399.75,400.25,65.0,337.5,35.0,333.75,177.0,92.0
2017-12-29 00:00:00,275.0,269.0,269.5,47.0,225.25,17.0,203.0,112.5,65.75
2017-12-29 04:00:00,262.0,256.0,256.0,48.25,209.75,18.25,190.0,101.5,57.0
2017-12-29 08:00:00,353.5,352.25,352.25,56.5,299.75,26.5,286.25,158.5,80.5
2017-12-29 12:00:00,360.75,357.25,357.25,50.75,306.25,20.75,291.25,170.25,83.25
2017-12-29 16:00:00,415.0,412.75,412.5,64.0,351.0,34.0,346.75,192.25,96.5
2017-12-29 20:00:00,381.0,379.25,379.75,63.75,317.25,33.75,313.25,167.5,86.0
2017-12-30 00:00:00,259.75,261.0,261.75,45.75,216.0,15.75,195.0,107.25,62.5
2017-12-30 04:00:00,228.25,227.5,229.0,42.5,188.5,12.5,161.5,91.5,52.0
2017-12-30 08:00:00,323.5,324.0,323.75,56.75,269.25,26.75,258.0,138.25,70.5
2017-12-30 12:00:00,341.25,339.75,339.5,55.5,285.75,25.5,273.75,151.75,76.5
2017-12-30 16:00:00,379.75,384.5,384.5,64.25,321.25,34.25,318.5,174.25,88.5
2017-12-30 20:00:00,356.75,354.25,354.0,63.25,292.5,33.25,288.25,148.0,77.75
2017-12-31 00:00:00,255.25,255.5,255.25,46.0,210.25,16.0,189.5,103.0,60.0
2017-12-31 04:00:00,228.5,228.75,228.75,47.25,182.25,17.25,162.75,90.5,51.0
2017-12-31 08:00:00,286.25,287.5,288.25,64.0,229.25,34.0,221.5,109.25,54.0
2017-12-31 12:00:00,291.75,292.25,292.5,52.5,242.0,22.5,226.25,123.0,60.0
2017-12-31 16:00:00,351.5,345.75,345.75,63.25,283.5,33.25,279.75,145.0,73.25
2017-12-31 20:00:00,346.0,346.5,347.25,66.25,283.5,36.25,280.5,142.25,74.5
2018-01-01 00:00:00,254.5,255.5,255.75,49.5,206.25,19.5,189.5,94.75,55.0
2018-01-01 04:00:00,220.0,222.25,222.25,40.0,185.5,10.0,156.25,88.25,49.75
2018-01-01 08:00:00,275.5,276.75,277.0,56.25,220.25,26.25,210.75,106.5,53.75
2018-01-01 12:00:00,287.75,287.5,288.75,51.75,241.0,21.75,221.5,123.25,61.75
2018-01-01 16:00:00,360.0,357.5,357.25,63.0,293.75,33.0,291.5,146.25,75.0
2018-01-01 20:00:00,357.75,355.25,355.25,64.0,291.75,34.0,289.25,142.25,77.25
2018-01-02 00:00:00,244.75,244.5,244.75,44.25,202.0,14.25,178.5,96.75,57.0
2018-01-02 04:00:00,249.25,250.25,250.75,49.5,203.5,19.5,184.25,98.5,55.5
2018-01-02 08:00:00,344.25,346.0,345.5,58.0,289.75,28.0,280.0,155.0,78.75
2018-01-02 12:00:00,362.75,364.25,365.0,55.5,311.75,25.5,298.25,168.75,81.75
2018-01-02 16:00:00,427.75,430.5,431.0,68.75,362.5,38.75,364.5,194.75,98.25
2018-01-02 20:00:00,398.0,398.0,399.0,67.5,332.0,37.5,332.0,169.75,90.25
2018-01-03 00:00:00,258.0,256.25,256.75,45.5,214.25,15.5,190.25,103.75,61.5
2018-01-03 04:00:00,248.25,247.75,248.75,46.5,202.5,16.5,181.75,94.75,54.0
2018-01-03 08:00:00,332.0,333.5,333.5,57.5,279.5,27.5,267.5,142.25,73.75
2018-01-03 12:00:00,340.5,341.0,340.75,50.0,291.75,20.0,275.0,158.75,80.5
2018-01-03 16:00:00,426.25,428.0,428.5,66.75,362.75,36.75,362.0,196.5,101.25
2018-01-03 20:00:00,402.5,401.0,400.75,68.0,335.25,38.0,335.0,174.75,93.0
2018-01-04 00:00:00,259.5,259.25,259.75,45.75,214.5,15.75,193.25,106.75,63.75
2018-01-04 04:00:00,251.0,250.25,250.25,49.25,202.0,19.25,184.25,96.25,54.5
2018-01-04 08:00:00,342.25,344.75,344.75,59.75,288.5,29.75,278.75,152.5,75.25
