,index,data
6905,2017122325,696.9206
6906,2017122330,659.3589999999999
6907,2017122335,639.3474
6908,2017122340,628.2612
6909,2017122345,605.5294
6910,2017122350,540.1617
6911,2017122355,544.9891
6912,2018010000,829.0651
6913,2018010005,822.3851
6914,2018010010,785.0747
6915,2018010015,678.0016
6916,2018010020,642.418
6917,2018010025,622.4854
6918,2018010030,627.2754
6919,2018010035,599.3623
6920,2018010040,565.4036
6921,2018010045,537.4738
6922,2018010050,536.6022
6923,2018010055,515.1469999999999
6924,2018010100,531.22
6925,2018010105,527.8958
6926,2018010110,519.7043
6927,2018010115,522.3619
6928,2018010120,534.5202
6929,2018010125,519.6526
6930,2018010130,521.3821
6931,2018010135,484.8431
6932,2018010140,461.3405
6933,2018010145,432.7197
6934,2018010150,411.0611
6935,2018010155,419.4254
6936,2018010200,413.4983
6937,2018010205,412.5192
6938,2018010210,371.9608
6939,2018010215,361.756
6940,2018010220,389.983
6941,2018010225,373.2658
6942,2018010230,377.2381
6943,2018010235,356.72
6944,2018010240,344.2555
6945,2018010245,313.1528
6946,2018010250,294.1243
6947,2018010255,266.5174
6948,2018010300,242.7716
6949,2018010305,240.1591
6950,2018010310,241.4772
6951,2018010315,239.6307
6952,2018010320,235.0823
6953,2018010325,227.3903
6954,2018010330,203.709
6955,2018010335,209.1674
6956,2018010340,197.7764
6957,2018010345,210.8351
6958,2018010350,226.942
6959,2018010355,250.1238
6960,2018010400,229.8916
6961,2018010405,206.2646
6962,2018010410,199.5787
6963,2018010415,181.1808
6964,2018010420,176.7491
6965,2018010425,158.8708
6966,2018010430,146.9327
6967,2018010435,135.5552
6968,2018010440,131.9637
6969,2018010445,127.61200000000001
6970,2018010450,122.9613
6971,2018010455,122.8997
6972,2018010500,118.9591
6973,2018010505,112.3019
6974,2018010510,130.6842
6975,2018010515,145.5402
6976,2018010520,161.6163
6977,2018010525,157.4454
6978,2018010530,170.7904
6979,2018010535,161.6887
6980,2018010540,206.9945
6981,2018010545,208.7231
6982,2018010550,206.3517
6983,2018010555,214.8268
6984,2018010600,209.605
6985,2018010605,203.765
6986,2018010610,210.4186
6987,2018010615,225.8625
6988,2018010620,251.3973
6989,2018010625,280.5125
6990,2018010630,292.3639
6991,2018010635,418.9646
6992,2018010640,382.2345
6993,2018010645,398.8433
6994,2018010650,354.3274
6995,2018010655,389.1994
6996,2018010700,427.2963
6997,2018010705,419.2474
6998,2018010710,439.6402
6999,2018010715,478.0603
7000,2018010720,502.827
7001,2018010725,484.1204
7002,2018010730,477.1437
7003,2018010735,512.5225
7004,2018010740,519.5795
7005,2018010745,601.0444
7006,2018010750,598.7718
7007,2018010755,679.8902
7008,2018010800,781.2117
7009,2018010805,891.0911
7010,2018010810,960.174
7011,2018010815,993.1162
7012,2018010820,1013.7178
7013,2018010825,994.9586
7014,2018010830,1066.8027
7015,2018010835,1116.2093
7016,2018010840,1173.2614
7017,2018010845,1202.1738
7018,2018010850,1352.7814
7019,2018010855,1322.8567
7020,2018010900,1289.2418
7021,2018010905,1312.4638
7022,2018010910,1416.7820000000002
7023,2018010915,1558.7446
7024,2018010920,1686.1755
7025,2018010925,1699.6089
7026,2018010930,1704.4595
7027,2018010935,1690.4662
7028,2018010940,1652.7377
7029,2018010945,1735.7696
7030,2018010950,1748.5306
7031,2018010955,1737.1324
7032,2018011000,1797.9018
7033,2018011005,1771.9141
7034,2018011010,1772.7187
7035,2018011015,1749.1999
7036,2018011020,1844.1405
7037,2018011025,1965.9849
7038,2018011030,1954.4998
7039,2018011035,1909.1721
7040,2018011040,2006.7051
7041,2018011045,2142.3241
7042,2018011050,2209.2270000000003
7043,2018011055,2232.1726
7044,2018011100,2160.0199
7045,2018011105,2132.6765
7046,2018011110,2063.5987
7047,2018011115,2094.1541
7048,2018011120,2101.7557
7049,2018011125,2090.0752
7050,2018011130,2118.8806
7051,2018011135,2155.4209
7052,2018011140,2123.585
7053,2018011145,2174.1891
7054,2018011150,2127.6502
7055,2018011155,2262.6361
7056,2018011200,2263.3174
7057,2018011205,2264.3327
7058,2018011210,2341.2523
7059,2018011215,2525.4071
7060,2018011220,2579.8274
7061,2018011225,2554.0012
7062,2018011230,2472.8862
7063,2018011235,2444.2637
7064,2018011240,2480.0924
7065,2018011245,2464.7637
7066,2018011250,2495.7876
7067,2018011255,2525.6865
7068,2018011300,2522.0343
7069,2018011305,2414.8928
7070,2018011310,2449.355
7071,2018011315,2440.0791
7072,2018011320,2328.7549
7073,2018011325,2283.9169
7074,2018011330,2314.9338
7075,2018011335,2353.5529
7076,2018011340,2446.1918
7077,2018011345,2492.5888
7078,2018011350,2482.0054
7079,2018011355,2523.0549
7080,2018011400,2456.2403
7081,2018011405,2396.5698
7082,2018011410,2336.2761
7083,2018011415,2278.8069
7084,2018011420,2200.1983
7085,2018011425,2240.79
7086,2018011430,2217.8792
7087,2018011435,2225.0717
7088,2018011440,2176.9419
7089,2018011445,2251.1185
7090,2018011450,2223.7403
7091,2018011455,2224.9518
7092,2018011500,2427.4856
7093,2018011505,2607.2038
7094,2018011510,2562.2555
7095,2018011515,2497.6296
7096,2018011520,2426.2787
7097,2018011525,2458.2571
7098,2018011530,2488.5951
7099,2018011535,2544.0547
7100,2018011540,2578.188
7101,2018011545,2475.3146
7102,2018011550,2500.2197
7103,2018011555,2475.0158
7104,2018011600,2508.7743
7105,2018011605,2579.0355
7106,2018011610,2584.6127
7107,2018011615,2652.6761
7108,2018011620,2753.1461
7109,2018011625,2853.4239
7110,2018011630,2864.0183
7111,2018011635,2828.6239
7112,2018011640,2750.4331
7113,2018011645,2729.4504
7114,2018011650,2789.7832
7115,2018011655,2857.1942
7116,2018011700,2837.8892
7117,2018011705,2774.0136
7118,2018011710,2808.3324
7119,2018011715,2776.7605
7120,2018011720,2697.3666
7121,2018011725,2653.1468
7122,2018011730,2731.7774
7123,2018011735,2709.8831
7124,2018011740,2531.3958
7125,2018011745,2460.8623
7126,2018011750,2473.5845
7127,2018011755,2389.5779
7128,2018011800,2345.6395
7129,2018011805,2267.9504
7130,2018011810,2263.4120000000003
7131,2018011815,2222.0637
7132,2018011820,2222.2378
7133,2018011825,2199.2056
7134,2018011830,2156.0096
7135,2018011835,2172.1083
7136,2018011840,2141.3515
7137,2018011845,2196.869
7138,2018011850,2103.724
7139,2018011855,1998.2266
7140,2018011900,1850.9203
7141,2018011905,1785.535
7142,2018011910,1745.4727
7143,2018011915,1860.5957
7144,2018011920,1921.0734
7145,2018011925,2066.895
7146,2018011930,1973.3997
7147,2018011935,1912.4606
7148,2018011940,1825.8151
7149,2018011945,1768.7044
7150,2018011950,1760.3196
7151,2018011955,1766.6452
7152,2018012000,1701.4273
7153,2018012005,1738.6176
7154,2018012010,1772.0719
7155,2018012015,1682.6416
7156,2018012020,1706.7728
7157,2018012025,1722.5925
7158,2018012030,1642.8574
7159,2018012035,1656.1960000000001
7160,2018012040,1581.9521
7161,2018012045,1616.1188
7162,2018012050,1655.9587
7163,2018012055,1568.6565
7164,2018012100,1584.6907
7165,2018012105,1544.0286
7166,2018012110,1487.1263
7167,2018012115,1485.0769
7168,2018012120,1472.3768
7169,2018012125,1411.6133
7170,2018012130,1401.3223
7171,2018012135,1329.5409
7172,2018012140,1279.8123
7173,2018012145,1262.6434
7174,2018012150,1288.7962
7175,2018012155,1206.7131
7176,2018012200,1162.8569
7177,2018012205,1269.1816
7178,2018012210,1283.2449
7179,2018012215,1250.6406
7180,2018012220,1196.1368
7181,2018012225,1153.0935
7182,2018012230,1105.2768
7183,2018012235,1057.8253
7184,2018012240,1030.6527
7185,2018012245,1002.4374
7186,2018012250,890.6546
7187,2018012255,834.6566
7188,2018012300,877.9169999999999
7189,2018012305,900.8384
7190,2018012310,903.4656
7191,2018012315,910.8992
7192,2018012320,931.0007
7193,2018012325,929.0582
7194,2018012330,912.7175
7195,2018012335,849.4786
7196,2018012340,768.6453
7197,2018012345,724.2699
7198,2018012350,730.3124
7199,2018012355,805.1581
7200,2018020000,860.9181
7201,2018020005,822.1088
7202,2018020010,828.3601
7203,2018020015,776.4258
7204,2018020020,767.9805
7205,2018020025,781.9758
7206,2018020030,723.768
7207,2018020035,700.9087
7208,2018020040,692.2987
7209,2018020045,653.5771
7210,2018020050,661.3076
7211,2018020055,635.2064
7212,2018020100,621.8928
7213,2018020105,572.8563
7214,2018020110,566.5006
7215,2018020115,576.3330000000001
7216,2018020120,570.6094
7217,2018020125,544.153
7218,2018020130,503.0032
7219,2018020135,477.86800000000005
7220,2018020140,452.4541
7221,2018020145,447.9226
7222,2018020150,439.1797
7223,2018020155,429.0499
7224,2018020200,415.5537
7225,2018020205,414.9361
7226,2018020210,432.4595
7227,2018020215,398.8709
7228,2018020220,395.8513
7229,2018020225,382.0486
7230,2018020230,349.8225
7231,2018020235,326.1032
7232,2018020240,312.6158
7233,2018020245,325.8078
7234,2018020250,289.9043
7235,2018020255,280.9067
7236,2018020300,255.8782
7237,2018020305,261.034
7238,2018020310,248.0087
7239,2018020315,242.9613
7240,2018020320,260.3139
7241,2018020325,223.2516
7242,2018020330,197.7771
7243,2018020335,194.5111
7244,2018020340,201.894
7245,2018020345,197.8839
7246,2018020350,199.5207
7247,2018020355,209.4974
7248,2018020400,197.9701
7249,2018020405,186.09099999999998
7250,2018020410,177.2266
7251,2018020415,164.6815
7252,2018020420,178.705
7253,2018020425,160.2943
7254,2018020430,153.3663
7255,2018020435,134.4228
7256,2018020440,131.6591
7257,2018020445,127.0719
7258,2018020450,117.3156
7259,2018020455,105.8354
7260,2018020500,127.2777
7261,2018020505,130.2409
7262,2018020510,139.2389
7263,2018020515,129.4564
7264,2018020520,151.6208
7265,2018020525,166.4226
7266,2018020530,168.59799999999998
7267,2018020535,179.7198
7268,2018020540,205.6903
7269,2018020545,187.8629
7270,2018020550,191.1399
7271,2018020555,186.6982
7272,2018020600,202.8882
7273,2018020605,198.7724
7274,2018020610,234.3456
7275,2018020615,242.9651
7276,2018020620,287.3308
7277,2018020625,272.7784
7278,2018020630,251.9195
7279,2018020635,266.4152
7280,2018020640,272.8126
7281,2018020645,308.4763
7282,2018020650,349.2265
7283,2018020655,358.2407
7284,2018020700,378.2125
7285,2018020705,448.2468
7286,2018020710,527.1847
7287,2018020715,588.9894
7288,2018020720,581.7412
7289,2018020725,558.3463
7290,2018020730,597.8507
7291,2018020735,639.6027
7292,2018020740,678.1876
7293,2018020745,684.6697
7294,2018020750,764.5328
7295,2018020755,852.8753
7296,2018020800,879.7157
7297,2018020805,936.6559
7298,2018020810,954.9469
7299,2018020815,1045.5067
7300,2018020820,1071.8153
7301,2018020825,1109.4863
7302,2018020830,1171.6248
7303,2018020835,1225.88
7304,2018020840,1206.7482
7305,2018020845,1235.6803
7306,2018020850,1275.5410000000002
7307,2018020855,1255.2784
7308,2018020900,1373.6947
7309,2018020905,1435.7605
7310,2018020910,1515.3184
7311,2018020915,1563.57
7312,2018020920,1465.5695
7313,2018020925,1437.7787
7314,2018020930,1384.8828
7315,2018020935,1350.0171
7316,2018020940,1399.7628
7317,2018020945,1484.6762
7318,2018020950,1558.1216
7319,2018020955,1558.1285
7320,2018021000,1570.4083
7321,2018021005,1697.5773
7322,2018021010,1802.1593
7323,2018021015,1836.4046
7324,2018021020,1838.0433
7325,2018021025,1915.1103
7326,2018021030,1989.9319
7327,2018021035,1994.0533
7328,2018021040,1894.1689
7329,2018021045,1827.9562
7330,2018021050,1746.4281
7331,2018021055,1828.1501
7332,2018021100,1798.9162
7333,2018021105,1982.1835
7334,2018021110,1997.3985
7335,2018021115,2050.1988
7336,2018021120,1983.8657
7337,2018021125,2003.4991
7338,2018021130,1941.8071
7339,2018021135,1981.402
7340,2018021140,1972.6175
7341,2018021145,2022.2698
7342,2018021150,2011.3119
7343,2018021155,2019.5674
7344,2018021200,1996.3705
7345,2018021205,2016.7784
7346,2018021210,2088.6953
7347,2018021215,2166.3901
7348,2018021220,2206.0887
7349,2018021225,2218.3986
7350,2018021230,2182.0892
7351,2018021235,2169.2685
7352,2018021240,2145.3888
7353,2018021245,2226.9129
7354,2018021250,2352.7317
7355,2018021255,2424.2116
7356,2018021300,2447.2819
7357,2018021305,2318.1849
7358,2018021310,2386.8935
7359,2018021315,2362.7918
7360,2018021320,2294.4916
7361,2018021325,2261.538
7362,2018021330,2182.7851
7363,2018021335,2172.2399
7364,2018021340,2122.95
7365,2018021345,2119.154
7366,2018021350,2161.2617
7367,2018021355,2231.5796
7368,2018021400,2146.624
7369,2018021405,2062.9465
